USER_LABEL,RATE,TECHNOLOGY,SPECIFICATION,VENDOR,Z_END_VENDOR,A_END_VENDOR,A_END_NODE,Z_END_NODE,A_END_PORT,Z_END_PORT,CIRCLE,LAST_MODIFIED
"MUM_TJ16P_GYOLT-1-Port_GPON-1-1-2-MUM_TJ16P_GYOLT-1-ONT-EthPort-1-1-2-1-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_TJ16P_GYOLT-1","MUM_TJ16P_GYOLT-1","Port_GPON-1-1-2","ONT-EthPort-1-1-2-1-1-4","MUM","2024-09-11T18:27:36.183"
"MUM_TJ16P_GYOLT-1-Port_GPON-1-1-2-MUM_TJ16P_GYOLT-1-ONT-EthPort-1-1-2-2-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_TJ16P_GYOLT-1","MUM_TJ16P_GYOLT-1","Port_GPON-1-1-2","ONT-EthPort-1-1-2-2-1-4","MUM","2024-09-11T18:27:36.185"
"MUM_TJ16P_GYOLT-1-Port_GPON-1-1-2-MUM_TJ16P_GYOLT-1-ONT-EthPort-1-1-2-3-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_TJ16P_GYOLT-1","MUM_TJ16P_GYOLT-1","Port_GPON-1-1-2","ONT-EthPort-1-1-2-3-1-4","MUM","2024-09-11T18:27:36.186"
"MUM_TJ16P_GYOLT-1-Port_GPON-1-1-2-MUM_TJ16P_GYOLT-1-ONT-EthPort-1-1-2-4-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_TJ16P_GYOLT-1","MUM_TJ16P_GYOLT-1","Port_GPON-1-1-2","ONT-EthPort-1-1-2-4-1-4","MUM","2024-09-11T18:27:36.187"
"KAR_BAN_TJ016P_VAGOLT_01-Port_GPON-1-1-4-KAR_BAN_TJ016P_VAGOLT_01-ONT-EthPort-1-1-4-1-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","KAR_BAN_TJ016P_VAGOLT_01","KAR_BAN_TJ016P_VAGOLT_01","Port_GPON-1-1-4","ONT-EthPort-1-1-4-1-1-4","KAR","2024-09-11T18:27:36.187"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-4-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-4-5-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-4","ONT-EthPort-1-1-4-5-1-4","MUM","2024-09-11T18:27:36.188"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-4-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-4-4-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-4","ONT-EthPort-1-1-4-4-1-4","MUM","2024-09-11T18:27:36.188"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-1-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-1-5-1-2","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-1","ONT-EthPort-1-1-1-5-1-2","MUM","2024-09-11T18:27:36.189"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-4-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-4-6-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-4","ONT-EthPort-1-1-4-6-1-4","MUM","2024-09-11T18:27:36.189"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-4-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-4-2-1-2","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-4","ONT-EthPort-1-1-4-2-1-2","MUM","2024-09-11T18:27:36.190"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-4-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-4-3-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-4","ONT-EthPort-1-1-4-3-1-4","MUM","2024-09-11T18:27:36.191"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-4-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-4-7-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-4","ONT-EthPort-1-1-4-7-1-4","MUM","2024-09-11T18:27:36.191"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-4-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-4-8-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-4","ONT-EthPort-1-1-4-8-1-4","MUM","2024-09-11T18:27:36.192"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-4-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-4-9-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-4","ONT-EthPort-1-1-4-9-1-4","MUM","2024-09-11T18:27:36.192"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-1-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-1-2-1-2","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-1","ONT-EthPort-1-1-1-2-1-2","MUM","2024-09-11T18:27:36.192"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-4-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-4-1-1-2","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-4","ONT-EthPort-1-1-4-1-1-2","MUM","2024-09-11T18:27:36.193"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-4-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-4-10-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-4","ONT-EthPort-1-1-4-10-1-4","MUM","2024-09-11T18:27:36.194"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-2-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-2-1-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-2","ONT-EthPort-1-1-2-1-1-4","MUM","2024-09-11T18:27:36.195"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-2-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-2-2-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-2","ONT-EthPort-1-1-2-2-1-4","MUM","2024-09-11T18:27:36.196"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-2-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-2-3-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-2","ONT-EthPort-1-1-2-3-1-4","MUM","2024-09-11T18:27:36.198"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-2-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-2-4-1-2","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-2","ONT-EthPort-1-1-2-4-1-2","MUM","2024-09-11T18:27:36.199"
"MUM_S_TJ8P_SOLT-1-Port_GPON-1-1-2-MUM_S_TJ8P_SOLT-1-ONT-EthPort-1-1-2-7-1-4","1GigE","Ethernet","INNI Connectivity","GPON","GPON","GPON","MUM_S_TJ8P_SOLT-1","MUM_S_TJ8P_SOLT-1","Port_GPON-1-1-2","ONT-EthPort-1-1-2-7-1-4","MUM","2024-09-11T18:27:36.200"
